DEG siMITFvs.siCTRL-SkMel28,,,,,,,,,,,,,,,,,
target_id,ensembl_gene_id,gene_symbol,full_name,biotype,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,estimate,log2fc
ENST00000373970.3,ENSG00000107984,DKK1,dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891],protein_coding,9.62E-08,0.000215588,28.44866973,2.229152029,1,7.262186902,0.445830406,0.000704082,0.445126323,0.013588683,0.445126323,1.215807339,1.754038038
ENST00000449062.1,ENSG00000022277,RTF2,replication termination factor 2 [Source:HGNC Symbol;Acc:HGNC:15890],protein_coding,1.00E-07,0.000215588,28.3708256,69.14860359,1,2.691372557,13.82972072,0.056988653,13.77273207,0.147766565,13.77273207,6.769039475,9.765653113
ENST00000511601.5,ENSG00000137460,FHDC1,FH2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29363],protein_coding,9.72E-08,0.000215588,28.42977736,1.852097529,1,7.285207739,0.370419506,0.001284933,0.369134573,0.013498962,0.369134573,1.110677784,1.602368253
ENST00000512756.5,ENSG00000060718,COL11A1,collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186],protein_coding,1.19E-07,0.000215588,28.03492807,1.428056108,1,8.850396711,0.285611222,0.001188634,0.284422588,0.009828064,0.284422588,0.973791718,1.404883538
ENST00000220244.7,ENSG00000103888,CEMIP,cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213],protein_coding,1.40E-07,0.000220086,27.71712486,1.802672096,1,8.389252441,0.360534419,0.001156369,0.35937805,0.010496724,0.35937805,1.092133614,1.575614689
ENST00000293662.8,ENSG00000161835,GRASP,general receptor for phosphoinositides 1 associated scaffold protein [Source:HGNC Symbol;Acc:HGNC:18707],protein_coding,1.46E-07,0.000220086,27.64323763,2.664895398,1,7.189376298,0.53297908,0.001634206,0.531344874,0.013879925,0.531344874,1.327570645,1.915278297
ENST00000341029.9,ENSG00000156219,ART3,ADP-ribosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:725],protein_coding,1.46E-07,0.000220086,27.64761798,2.8412066,1,6.270768566,0.56824132,0.002827389,0.565413931,0.018355563,0.565413931,1.374925683,1.98359713
ENST00000358171.7,ENSG00000149257,SERPINH1,serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546],protein_coding,1.47E-07,0.000220086,27.62234356,1.39848717,1,10.0985287,0.279697434,3.76E-05,0.279659821,0.009283534,0.279659821,0.96162031,1.387323919
ENST00000367963.7,ENSG00000079931,MOXD1,monooxygenase DBH like 1 [Source:HGNC Symbol;Acc:HGNC:21063],protein_coding,1.33E-07,0.000220086,27.8209315,1.549937503,1,8.473536595,0.309987501,0.00023602,0.30975148,0.010353169,0.30975148,1.012577672,1.460839804
ENST00000389463.8,ENSG00000112769,LAMA4,laminin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6484],protein_coding,1.39E-07,0.000220086,27.73281152,5.040283505,1,8.22246323,1.008056701,0.016368097,0.991688604,0.010810928,0.991688604,1.830933316,2.641476638
ENST00000222374.2,ENSG00000105767,CADM4,cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:30825],protein_coding,1.62E-07,0.000231592,27.44280619,1.560706092,1,7.874347028,0.312141218,0.000477488,0.311663731,0.011605526,0.311663731,1.016503656,1.466503798
ENST00000367385.8,ENSG00000151414,NEK7,NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386],protein_coding,2.07E-07,0.000270974,26.96846959,1.110505758,1,8.746096616,0.222101152,0.000191914,0.221909238,0.009954974,0.221909238,0.857371854,1.23692529
ENST00000298355.7,ENSG00000100505,TRIM9,tripartite motif containing 9 [Source:HGNC Symbol;Acc:HGNC:16288],protein_coding,2.24E-07,0.000272814,26.81257873,1.825336825,1,6.880416208,0.365067365,0.001475281,0.363592084,0.015237184,0.363592084,1.10114143,1.588610212
ENST00000393937.6,ENSG00000115318,LOXL3,lysyl oxidase like 3 [Source:HGNC Symbol;Acc:HGNC:13869],protein_coding,2.32E-07,0.000272814,26.74905276,0.897571716,1,10.17363593,0.179514343,9.71E-05,0.179417256,0.009305018,0.179417256,0.771938365,1.113670902
ENST00000490035.6,ENSG00000185565,LSAMP,limbic system associated membrane protein [Source:HGNC Symbol;Acc:HGNC:6705],protein_coding,2.53E-07,0.000280303,26.57815181,2.309744396,1,6.54555595,0.461948879,0.001695643,0.460253236,0.016909519,0.460253236,1.23686769,1.784421682
ENST00000330295.9,ENSG00000164932,CTHRC1,collagen triple helix repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:18831],protein_coding,2.75E-07,0.000282871,26.41876133,0.851629454,1,9.78454537,0.170325891,0.000104602,0.170221289,0.00925935,0.170221289,0.751455979,1.084121085
ENST00000340748.8,ENSG00000130816,DNMT1,DNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2976],protein_coding,2.70E-07,0.000282871,26.45194502,0.771954713,1,9.72475074,0.154390943,0.000334141,0.154056802,0.00926674,0.154056802,0.716946139,1.034333944
ENST00000258662.2,ENSG00000136159,NUDT15,nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063],protein_coding,3.02E-07,0.00028449,26.23965602,1.552415299,1,7.925003117,0.31048306,0.000254882,0.310228178,0.011477521,0.310228178,1.011498727,1.459283216
ENST00000273317.4,ENSG00000144791,LIMD1,LIM domains containing 1 [Source:HGNC Symbol;Acc:HGNC:6612],protein_coding,3.36E-07,0.00028449,26.03296222,0.689364412,1,9.749888318,0.137872882,8.20E-05,0.13779088,0.009263164,0.13779088,0.677283525,0.977112926
ENST00000286614.10,ENSG00000156103,MMP16,matrix metallopeptidase 16 [Source:HGNC Symbol;Acc:HGNC:7162],protein_coding,3.15E-07,0.00028449,26.15467969,0.99770606,1,8.937549094,0.199541212,0.000142857,0.199398355,0.009732372,0.199398355,0.811827936,1.17121935
ENST00000302351.8,ENSG00000171617,ENC1,ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345],protein_coding,3.24E-07,0.00028449,26.10376022,5.492674885,1,8.137510619,1.098534977,0.001800171,1.096734806,0.010986976,1.096734806,1.901879208,2.743829856
ENST00000329841.9,ENSG00000184254,ALDH1A3,aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409],protein_coding,3.24E-07,0.00028449,26.09848944,1.929069301,1,10.59073325,0.38581386,9.27E-05,0.385721159,0.009536464,0.385721159,1.127100244,1.626060838
ENST00000373930.3,ENSG00000106780,MEGF9,multiple EGF like domains 9 [Source:HGNC Symbol;Acc:HGNC:3234],protein_coding,3.45E-07,0.00028449,25.98097527,0.937403288,1,8.695747125,0.187480658,0.00017245,0.187308207,0.010021175,0.187308207,0.787266865,1.135785238
ENST00000377482.9,ENSG00000116285,ERRFI1,ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185],protein_coding,3.49E-07,0.00028449,25.95789901,0.959510188,1,8.788413681,0.191902038,0.000160512,0.191741525,0.009901835,0.191741525,0.796186062,1.148652911
ENST00000392194.5,ENSG00000078018,MAP2,microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839],protein_coding,3.53E-07,0.00028449,25.93297448,3.46954823,1,6.252341278,0.693909646,0.010030624,0.683879021,0.018453368,0.683879021,1.51856207,2.190820494
ENST00000521689.5,ENSG00000132561,MATN2,matrilin 2 [Source:HGNC Symbol;Acc:HGNC:6908],protein_coding,3.00E-07,0.00028449,26.24748679,4.702707316,1,6.377998019,0.940541463,0.008962523,0.93157894,0.017790339,0.93157894,1.762014496,2.542047865
ENST00000581396.5,ENSG00000175662,TOM1L2,target of myb1 like 2 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11984],protein_coding,3.42E-07,0.00028449,25.99436548,0.895805769,1,8.097595086,0.179161154,0.000439024,0.17872213,0.011073561,0.17872213,0.771628786,1.113224274
ENST00000435224.2,ENSG00000166016,ABTB2,ankyrin repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842],protein_coding,3.61E-07,0.00028666,25.89494178,0.78228601,1,8.571110314,0.156457202,0.000170751,0.156286451,0.010199249,0.156286451,0.720709917,1.039763924
ENST00000375001.7,ENSG00000204291,COL15A1,collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192],protein_coding,4.06E-07,0.000312379,25.66423051,4.497958194,1,6.063558285,0.899591639,0.00459786,0.894993779,0.019477889,0.894993779,1.720288975,2.481850704
ENST00000263816.7,ENSG00000081479,LRP2,LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694],protein_coding,4.54E-07,0.000322288,25.44869848,3.377514203,1,6.493634241,0.675502841,0.00176141,0.673741431,0.017183153,0.673741431,1.490322356,2.150079226
ENST00000269141.7,ENSG00000170558,CDH2,cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759],protein_coding,4.69E-07,0.000322288,25.38753487,0.871409307,1,9.002169239,0.174281861,0.000760497,0.173521364,0.009667374,0.173521364,0.759378923,1.09555147
ENST00000312828.3,ENSG00000176641,RNF152,ring finger protein 152 [Source:HGNC Symbol;Acc:HGNC:26811],protein_coding,4.94E-07,0.000322288,25.28844403,2.020525502,1,6.504062821,0.4041051,0.001176036,0.402929064,0.017128275,0.402929064,1.15451431,1.665610949
ENST00000319211.4,ENSG00000181104,F2R,coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537],protein_coding,4.94E-07,0.000322288,25.28817453,2.920855988,1,6.363413738,0.584171198,0.001622927,0.58254827,0.017866951,0.58254827,1.385793663,1.9992763
ENST00000335698.4,ENSG00000165629,ATP5F1C,ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833],protein_coding,4.83E-07,0.000322288,25.32926079,4.269720456,1,7.297174322,0.853944091,0.006882931,0.84706116,0.013452775,0.84706116,1.675410206,2.417104369
ENST00000361131.4,ENSG00000198729,PPP1R14C,protein phosphatase 1 regulatory inhibitor subunit 14C [Source:HGNC Symbol;Acc:HGNC:14952],protein_coding,4.60E-07,0.000322288,25.42281174,0.93578481,1,8.275062372,0.187156962,0.000214201,0.186942761,0.010707418,0.186942761,0.786204587,1.134252696
ENST00000361758.8,ENSG00000112531,QKI,"QKI, KH domain containing RNA binding [Source:HGNC Symbol;Acc:HGNC:21100]",nonsense_mediated_decay,4.56E-07,0.000322288,25.44157198,0.937573047,1,9.318336282,0.187514609,0.000103328,0.187411282,0.009419992,0.187411282,0.785993917,1.133948763
ENST00000375068.5,ENSG00000102316,MAGED2,MAGE family member D2 [Source:HGNC Symbol;Acc:HGNC:16353],protein_coding,4.34E-07,0.000322288,25.53665199,1.194722419,1,9.878256741,0.238944484,0.000285252,0.238659232,0.009255496,0.238659232,0.886585377,1.279071467
ENST00000498707.5,ENSG00000163638,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202],protein_coding,4.35E-07,0.000322288,25.53229628,0.911834362,1,8.931189918,0.182366872,0.001406908,0.180959965,0.00973904,0.180959965,0.778078751,1.122529601
ENST00000517992.1,ENSG00000172164,SNTB1,syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168],protein_coding,4.80E-07,0.000322288,25.34389701,1.356125145,1,7.838986358,0.271225029,0.001026867,0.270198162,0.01169751,0.270198162,0.945353029,1.36385521
ENST00000575811.5,ENSG00000262860,LSM14A,"LSM14A, mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]",protein_coding,4.72E-07,0.000322288,25.37677441,1.495161592,1,8.561608511,0.299032318,0.000370081,0.298662237,0.01021367,0.298662237,0.99149286,1.43042087
ENST00000261267.6,ENSG00000090382,LYZ,lysozyme [Source:HGNC Symbol;Acc:HGNC:6740],protein_coding,5.09E-07,0.000326348,25.23074929,2.079603025,1,6.279692758,0.415920605,0.001961864,0.413958741,0.018308288,0.413958741,1.172787006,1.691972859
ENST00000306107.9,ENSG00000170017,ALCAM,activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400],protein_coding,5.06E-07,0.000326348,25.23990116,1.635806377,1,6.943139961,0.327161275,0.001954527,0.325206749,0.014946307,0.325206749,1.040120379,1.500575503
ENST00000620786.4,ENSG00000130779,CLIP1,CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461],protein_coding,5.19E-07,0.000330472,25.19327552,84.79737086,1,3.482854612,16.95947417,0.362704635,16.59676954,0.05447149,16.59676954,7.479829458,10.79110561
ENST00000326232.13,ENSG00000157800,SLC37A3,solute carrier family 37 member 3 [Source:HGNC Symbol;Acc:HGNC:20651],protein_coding,5.23E-07,0.000330879,25.17773528,0.802845272,1,8.691214901,0.160569054,0.000227229,0.160341826,0.010027294,0.160341826,0.728423457,1.050892203
ENST00000226091.2,ENSG00000108947,EFNB3,ephrin B3 [Source:HGNC Symbol;Acc:HGNC:3228],protein_coding,5.43E-07,0.000338158,25.10423162,2.369819098,1,5.791622095,0.47396382,0.002757369,0.47120645,0.02108752,0.47120645,1.253740026,1.808763302
ENST00000382263.3,ENSG00000127863,TNFRSF19,TNF receptor superfamily member 19 [Source:HGNC Symbol;Acc:HGNC:11915],protein_coding,5.52E-07,0.000338158,25.07202847,0.818694126,1,8.682424174,0.163738825,0.000430389,0.163308436,0.010039238,0.163308436,0.735616863,1.061270087
ENST00000590261.5,ENSG00000129351,ILF3,interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038],protein_coding,5.52E-07,0.000338158,25.07127555,1.868389239,1,8.247872257,0.373677848,0.002096263,0.371581584,0.010760409,0.371581584,1.107951844,1.598435556
ENST00000450251.5,ENSG00000145390,USP53,ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:HGNC:29255],protein_coding,5.69E-07,0.000343789,25.0142264,0.738581218,1,8.887424268,0.147716244,0.000868323,0.14684792,0.009786271,0.14684792,0.700389336,1.010447542
ENST00000274938.7,ENSG00000146197,SCUBE3,"signal peptide, CUB domain and EGF like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:13655]",protein_coding,6.23E-07,0.000347826,24.83835162,1.772879868,1,6.290563773,0.354575974,0.001651203,0.35292477,0.018250774,0.35292477,1.08349534,1.563152303
ENST00000312655.8,ENSG00000175155,YPEL2,yippee like 2 [Source:HGNC Symbol;Acc:HGNC:18326],protein_coding,6.32E-07,0.000347826,24.81331553,1.422443055,1,7.235389939,0.284488611,0.000734968,0.283753643,0.013694556,0.283753643,0.967691698,1.396083075
ENST00000367137.3,ENSG00000133065,SLC41A1,solute carrier family 41 member 1 [Source:HGNC Symbol;Acc:HGNC:19429],protein_coding,6.26E-07,0.000347826,24.8292205,0.671278683,1,8.545834743,0.134255737,0.00028073,0.133975007,0.010237878,0.133975007,0.667414476,0.962874907
ENST00000371116.3,ENSG00000187140,FOXD3,forkhead box D3 [Source:HGNC Symbol;Acc:HGNC:3804],protein_coding,6.25E-07,0.000347826,24.8324784,2.501733738,1,7.353043449,0.500346748,0.001026614,0.499320133,0.013241263,0.499320133,1.28167577,1.849066034
ENST00000379951.6,ENSG00000138795,LEF1,lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551],protein_coding,5.98E-07,0.000347826,24.91879048,0.728890589,1,9.111683628,0.145778118,0.000299161,0.145478957,0.009568568,0.145478957,0.694190578,1.001504631
ENST00000395512.5,ENSG00000241404,EGFL8,EGF like domain multiple 8 [Source:HGNC Symbol;Acc:HGNC:13944],protein_coding,6.08E-07,0.000347826,24.88824693,6.38193197,1,5.084543504,1.276386394,0.011545897,1.264840497,0.025352568,1.264840497,2.048698856,2.955645691
ENST00000559844.5,ENSG00000028528,SNX1,sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172],protein_coding,6.38E-07,0.000349067,24.79429549,0.690588443,1,9.135520949,0.138117689,0.000100566,0.138017123,0.009548926,0.138017123,0.675493194,0.974530025
ENST00000261488.10,ENSG00000120658,ENOX1,ecto-NOX disulfide-thiol exchanger 1 [Source:HGNC Symbol;Acc:HGNC:25474],protein_coding,6.57E-07,0.000353216,24.7378034,1.646972309,1,7.233239341,0.329394462,0.000794203,0.328600259,0.01370312,0.328600259,1.040156616,1.500627782
ENST00000515673.6,ENSG00000170153,RNF150,ring finger protein 150 [Source:HGNC Symbol;Acc:HGNC:23138],protein_coding,6.53E-07,0.000353216,24.74832912,4.484482376,1,5.776369541,0.896896475,0.007797956,0.889098519,0.02118485,0.889098519,1.716958162,2.47704536
ENST00000286298.4,ENSG00000155850,SLC26A2,solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994],protein_coding,6.81E-07,0.000354248,24.66874701,0.934871767,1,11.1412073,0.186974353,1.20E-05,0.186962355,0.010147964,0.186962355,0.785199142,1.132802147
ENST00000291416.9,ENSG00000116525,TRIM62,tripartite motif containing 62 [Source:HGNC Symbol;Acc:HGNC:25574],protein_coding,6.85E-07,0.000354248,24.65656146,0.98986276,1,8.27009497,0.197972552,0.000282137,0.197690415,0.010717017,0.197690415,0.806834415,1.164015226
ENST00000336278.8,ENSG00000168807,SNTB2,syntrophin beta 2 [Source:HGNC Symbol;Acc:HGNC:11169],protein_coding,6.78E-07,0.000354248,24.67723671,0.590993853,1,9.318594971,0.118198771,7.45E-05,0.118124223,0.009419836,0.118124223,0.625979264,0.903096572
ENST00000377966.3,ENSG00000122707,RECK,reversion inducing cysteine rich protein with kazal motifs [Source:HGNC Symbol;Acc:HGNC:11345],protein_coding,6.86E-07,0.000354248,24.65399755,0.820012211,1,8.117651382,0.164002442,0.000269322,0.16373312,0.011029742,0.16373312,0.735955348,1.061758417
ENST00000358912.4,ENSG00000197329,PELI1,pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827],protein_coding,7.05E-07,0.000355239,24.60230772,0.780347635,1,7.986063541,0.156069527,0.000301549,0.155767978,0.011329005,0.155767978,0.718727478,1.03690387
ENST00000296181.8,ENSG00000082781,ITGB5,integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160],protein_coding,7.18E-07,0.000355447,24.56542198,0.755433777,1,9.556448112,0.151086755,9.12E-05,0.150995603,0.009308274,0.150995603,0.705287302,1.017513809
ENST00000261653.10,ENSG00000111450,STX2,syntaxin 2 [Source:HGNC Symbol;Acc:HGNC:3403],protein_coding,7.71E-07,0.000367665,24.42857515,0.896785146,1,7.740567323,0.179357029,0.000685904,0.178671125,0.011966463,0.178671125,0.770054983,1.110953758
ENST00000359543.7,ENSG00000213853,EMP2,epithelial membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3334],protein_coding,7.82E-07,0.000367665,24.40177436,1.946804936,1,8.210903501,0.389360987,0.000315167,0.38904582,0.010834235,0.38904582,1.129981892,1.630218176
ENST00000397033.6,ENSG00000115232,ITGA4,integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140],protein_coding,7.58E-07,0.000367665,24.46087335,0.84854068,1,9.05763683,0.169708136,0.000207374,0.169500762,0.009615562,0.169500762,0.746815062,1.077425661
ENST00000360632.7,ENSG00000018408,WWTR1,WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042],protein_coding,8.04E-07,0.000373968,24.3483508,0.537033263,1,9.734020846,0.107406653,0.000116475,0.107290178,0.009265342,0.107290178,0.597314255,0.861741733
ENST00000003912.7,ENSG00000001461,NIPAL3,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],protein_coding,8.14E-07,0.000376165,24.32340304,0.733659157,1,9.654081926,0.146731831,8.72E-05,0.146644582,0.009280443,0.146644582,0.694812296,1.00240158
ENST00000358812.8,ENSG00000172469,MANEA,mannosidase endo-alpha [Source:HGNC Symbol;Acc:HGNC:21072],protein_coding,8.20E-07,0.000376165,24.30974564,0.891880827,1,7.272037669,0.178376165,0.000748551,0.177627614,0.013550151,0.177627614,0.769913514,1.110749662
ENST00000382466.7,ENSG00000180776,ZDHHC20,zinc finger DHHC-type containing 20 [Source:HGNC Symbol;Acc:HGNC:20749],protein_coding,8.21E-07,0.000376165,24.30838508,0.861085629,1,8.658586708,0.172217126,0.00207058,0.170146546,0.010072133,0.170146546,0.75567442,1.090207005
ENST00000381657.7,ENSG00000182378,PLCXD1,phosphatidylinositol specific phospholipase C X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148],protein_coding,8.41E-07,0.000383411,24.26216994,0.72818263,1,8.549659671,0.145636526,0.000263971,0.145372555,0.010231977,0.145372555,0.692996774,0.999782337
