HA-MITF-501Mel peaks associated genes,,,,,,,,,,,,,,,,,,
seqnames,start,end,width,strand,V4,V5,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,1849993,1853308,3316,*,MACS_peak_26,50.25,Promoter (<=1kb),1,1849029,1850236,1208,2,339456,uc001aii.2,0,ENSG00000178821,TMEM52,transmembrane protein 52
chr1,1855726,1858037,2312,*,MACS_peak_27,61.34,5' UTR,1,1849029,1850740,1712,2,339456,uc001aij.2,-4986,ENSG00000178821,TMEM52,transmembrane protein 52
chr1,1909337,1911625,2289,*,MACS_peak_29,3100,"Intron (uc001aim.1/85452, intron 6 of 17)",1,1886586,1922414,35829,2,85452,uc009vkz.1,10789,ENSG00000142609,CFAP74,cilia and flagella associated protein 74
chr1,2019003,2020479,1477,*,MACS_peak_31,51.77,"Intron (uc001aiq.3/5590, intron 4 of 17)",1,2005425,2116834,111410,1,5590,uc010nyw.2,13578,ENSG00000067606,PRKCZ,protein kinase C zeta
chr1,2034614,2040626,6013,*,MACS_peak_32,78.69,Promoter (<=1kb),1,2036155,2116834,80680,1,5590,uc001ais.3,0,ENSG00000067606,PRKCZ,protein kinase C zeta
chr1,2065788,2068360,2573,*,MACS_peak_33,93.73,5' UTR,1,2076796,2088167,11372,1,5590,uc009vlb.3,-8436,ENSG00000067606,PRKCZ,protein kinase C zeta
chr1,2096774,2098654,1881,*,MACS_peak_34,76.09,Promoter (1-2kb),1,2100287,2116834,16548,1,5590,uc001ait.3,-1633,ENSG00000067606,PRKCZ,protein kinase C zeta
chr1,2108699,2113641,4943,*,MACS_peak_35,195.86,"Exon (uc010nyx.2/5590, exon 12 of 14)",1,2100287,2116834,16548,1,5590,uc001ait.3,8412,ENSG00000067606,PRKCZ,protein kinase C zeta
chr1,2118886,2120195,1310,*,MACS_peak_36,76.13,"Intron (uc001aiv.2/199990, intron 5 of 7)",1,2115899,2126214,10316,2,199990,uc001aiv.2,6019,ENSG00000162585,FAAP20,Fanconi anemia core complex associated protein 20
chr1,2161496,2164798,3303,*,MACS_peak_37,120.5,Promoter (1-2kb),1,2160134,2241652,81519,1,6497,uc001aja.4,1362,ENSG00000157933,SKI,SKI proto-oncogene
chr1,2204473,2205942,1470,*,MACS_peak_38,54.56,"Intron (uc001aja.4/6497, intron 1 of 6)",1,2160134,2241652,81519,1,6497,uc001aja.4,44339,ENSG00000157933,SKI,SKI proto-oncogene
chr1,2224895,2226412,1518,*,MACS_peak_39,56.97,"Intron (uc001aja.4/6497, intron 1 of 6)",1,2281853,2284100,2248,2,100129534,uc001ajc.3,57688,ENSG00000269896,LOC100129534,small nuclear ribonucleoprotein polypeptide N pseudogene
chr1,2343475,2346146,2672,*,MACS_peak_40,79.75,Promoter (<=1kb),1,2336241,2344010,7770,2,5192,uc001ajg.3,0,ENSG00000157911,PEX10,peroxisomal biogenesis factor 10
chr1,2417119,2419790,2672,*,MACS_peak_42,165.98,"Exon (uc001aji.1/9651, exon 6 of 22)",1,2411623,2436969,25347,1,9651,uc001ajk.1,5496,ENSG00000149527,PLCH2,phospholipase C eta 2
chr1,2476419,2479528,3110,*,MACS_peak_43,185.58,Downstream (1-2kb),1,2481359,2484284,2926,2,115110,uc001ajo.2,4756,NA,TNFRSF14-AS1,TNFRSF14 antisense RNA 1
chr1,2479563,2480830,1268,*,MACS_peak_44,69.98,Downstream (<1kb),1,2481359,2484284,2926,2,115110,uc001ajo.2,3454,NA,TNFRSF14-AS1,TNFRSF14 antisense RNA 1
chr1,2485898,2489722,3825,*,MACS_peak_45,397.36,Promoter (<=1kb),1,2486163,2488450,2288,2,100133445,uc021oev.1,0,NA,NA,NA
chr1,2586867,2587926,1060,*,MACS_peak_46,59.75,"Intron (uc021oey.1/100287898, intron 4 of 6)",1,2522081,2564481,42401,2,79258,uc001ajy.2,-22386,ENSG00000142606,MMEL1,membrane metalloendopeptidase like 1
chr1,2614653,2616833,2181,*,MACS_peak_47,95.94,"Intron (uc021oey.1/100287898, intron 4 of 6)",1,2522081,2564481,42401,2,79258,uc001ajy.2,-50172,ENSG00000142606,MMEL1,membrane metalloendopeptidase like 1
chr1,2618579,2624506,5928,*,MACS_peak_48,152.36,"Intron (uc021oey.1/100287898, intron 4 of 6)",1,2522081,2564481,42401,2,79258,uc001ajy.2,-54098,ENSG00000142606,MMEL1,membrane metalloendopeptidase like 1
chr1,2699796,2701207,1412,*,MACS_peak_49,369.25,"Exon (uc021oey.1/100287898, exon 4 of 7)",1,2572807,2706230,133424,2,100287898,uc021oey.1,5023,ENSG00000215912,TTC34,tetratricopeptide repeat domain 34
chr1,2982333,2985089,2757,*,MACS_peak_58,54.72,Promoter (<=1kb),1,2980636,2984289,3654,2,440556,uc010nzg.1,0,ENSG00000177133,LINC00982,long intergenic non-protein coding RNA 982
chr1,3001983,3003333,1351,*,MACS_peak_59,50.83,"Intron (uc001akc.3/63976, intron 1 of 16)",1,2985742,3355185,369444,1,63976,uc009vlh.3,16241,ENSG00000142611,PRDM16,PR/SET domain 16
chr1,3096565,3099355,2791,*,MACS_peak_60,51.17,"Intron (uc001akc.3/63976, intron 1 of 16)",1,3044539,3044599,61,1,100422968,uc021oez.1,52026,ENSG00000283572,MIR4251,microRNA 4251
chr1,3122267,3126303,4037,*,MACS_peak_61,164.32,"Intron (uc001akc.3/63976, intron 2 of 16)",1,3044539,3044599,61,1,100422968,uc021oez.1,77728,ENSG00000283572,MIR4251,microRNA 4251
chr1,3186551,3187960,1410,*,MACS_peak_62,51.25,"Intron (uc001akc.3/63976, intron 3 of 16)",1,3044539,3044599,61,1,100422968,uc021oez.1,142012,ENSG00000283572,MIR4251,microRNA 4251
chr1,3193450,3197310,3861,*,MACS_peak_63,65.58,"Intron (uc001akc.3/63976, intron 3 of 16)",1,3044539,3044599,61,1,100422968,uc021oez.1,148911,ENSG00000283572,MIR4251,microRNA 4251
chr1,3232870,3234467,1598,*,MACS_peak_64,55.16,"Intron (uc001akc.3/63976, intron 3 of 16)",1,3371147,3397677,26531,1,27237,uc001akg.4,-136680,ENSG00000130762,ARHGEF16,Rho guanine nucleotide exchange factor 16
chr1,3324422,3326107,1686,*,MACS_peak_65,140.35,"Intron (uc001akc.3/63976, intron 8 of 16)",1,3371147,3397677,26531,1,27237,uc001akg.4,-45040,ENSG00000130762,ARHGEF16,Rho guanine nucleotide exchange factor 16
chr1,3332300,3337250,4951,*,MACS_peak_66,92.33,"Exon (uc001akc.3/63976, exon 11 of 17)",1,3371147,3397677,26531,1,27237,uc001akg.4,-33897,ENSG00000130762,ARHGEF16,Rho guanine nucleotide exchange factor 16
chr1,3338279,3344247,5969,*,MACS_peak_67,58.93,"Exon (uc001akc.3/63976, exon 13 of 17)",1,3371147,3397677,26531,1,27237,uc001akg.4,-26900,ENSG00000130762,ARHGEF16,Rho guanine nucleotide exchange factor 16
chr1,3368349,3371509,3161,*,MACS_peak_68,79.27,Promoter (<=1kb),1,3371147,3397677,26531,1,27237,uc001akg.4,0,ENSG00000130762,ARHGEF16,Rho guanine nucleotide exchange factor 16
chr1,3411649,3422022,10374,*,MACS_peak_69,105.67,"Exon (uc001akk.3/1953, exon 13 of 30)",1,3388171,3397677,9507,1,27237,uc010nzh.2,23478,ENSG00000130762,ARHGEF16,Rho guanine nucleotide exchange factor 16
chr1,3431693,3437227,5535,*,MACS_peak_70,87.1,"Exon (uc001akk.3/1953, exon 3 of 30)",1,3404506,3448012,43507,2,1953,uc001akk.3,10785,ENSG00000162591,MEGF6,multiple EGF like domains 6
chr1,3439646,3441059,1414,*,MACS_peak_71,157.73,"Exon (uc001akk.3/1953, exon 2 of 30)",1,3404506,3448012,43507,2,1953,uc001akk.3,6953,ENSG00000162591,MEGF6,multiple EGF like domains 6
chr1,3513202,3517541,4340,*,MACS_peak_72,102.33,"Intron (uc001akl.3/1953, intron 2 of 36)",1,3404506,3528059,123554,2,1953,uc001akl.3,10518,ENSG00000162591,MEGF6,multiple EGF like domains 6
chr1,3548596,3552040,3445,*,MACS_peak_74,98.47,3' UTR,1,3541588,3546694,5107,1,127262,uc031pkw.1,7008,ENSG00000158109,TPRG1L,tumor protein p63 regulated 1 like
chr1,3636911,3640168,3258,*,MACS_peak_75,99.78,"Exon (uc001akp.3/7161, exon 5 of 14)",1,3644042,3652765,8724,1,7161,uc010nzl.2,-3874,ENSG00000078900,TP73,tumor protein p73
chr1,3658346,3659984,1639,*,MACS_peak_76,109.23,"Exon (uc001akt.4/57212, exon 3 of 6)",1,3652548,3663335,10788,2,57212,uc001akt.4,3351,ENSG00000227372,TP73-AS1,TP73 antisense RNA 1
chr1,3815807,3818285,2479,*,MACS_peak_77,190.56,Promoter (<=1kb),1,3816968,3832011,15044,1,100133612,uc001alg.3,0,ENSG00000236423,LINC01134,long intergenic non-protein coding RNA 1134
chr1,4467453,4469519,2067,*,MACS_peak_92,72.44,Promoter (2-3kb),1,4472111,4484744,12634,1,284661,uc001alj.2,-2592,ENSG00000235054,LINC01777,long intergenic non-protein coding RNA 1777
chr1,4475073,4475848,776,*,MACS_peak_93,105.47,Promoter (2-3kb),1,4472111,4484744,12634,1,284661,uc001alj.2,2962,ENSG00000235054,LINC01777,long intergenic non-protein coding RNA 1777
chr1,4759715,4760639,925,*,MACS_peak_99,77.93,"Intron (uc001alm.1/55966, intron 1 of 5)",1,4715105,4843851,128747,1,55966,uc001aln.3,44610,ENSG00000196581,AJAP1,adherens junctions associated protein 1
chr1,4776227,4777921,1695,*,MACS_peak_100,60.97,"Intron (uc001alm.1/55966, intron 2 of 5)",1,4715105,4843851,128747,1,55966,uc001aln.3,61122,ENSG00000196581,AJAP1,adherens junctions associated protein 1
chr1,4779869,4781470,1602,*,MACS_peak_101,53.62,"Intron (uc001alm.1/55966, intron 2 of 5)",1,4715105,4843851,128747,1,55966,uc001aln.3,64764,ENSG00000196581,AJAP1,adherens junctions associated protein 1
chr1,4786703,4788993,2291,*,MACS_peak_102,50.32,"Intron (uc001alm.1/55966, intron 2 of 5)",1,4715105,4843851,128747,1,55966,uc001aln.3,71598,ENSG00000196581,AJAP1,adherens junctions associated protein 1
chr1,4805313,4806225,913,*,MACS_peak_103,85.11,"Intron (uc001alm.1/55966, intron 2 of 5)",1,4715105,4843851,128747,1,55966,uc001aln.3,90208,ENSG00000196581,AJAP1,adherens junctions associated protein 1
chr1,4806679,4808762,2084,*,MACS_peak_104,96.02,"Intron (uc001alm.1/55966, intron 2 of 5)",1,4715105,4843851,128747,1,55966,uc001aln.3,91574,ENSG00000196581,AJAP1,adherens junctions associated protein 1
chr1,4824496,4825317,822,*,MACS_peak_105,65.53,"Intron (uc001alm.1/55966, intron 2 of 5)",1,4715105,4843851,128747,1,55966,uc001aln.3,109391,ENSG00000196581,AJAP1,adherens junctions associated protein 1
chr1,5651819,5652574,756,*,MACS_peak_111,114.23,"Intron (uc001alp.1/uc001alp.1, intron 1 of 2)",1,5624131,5624203,73,1,100616489,uc021ofm.1,27688,ENSG00000264341,MIR4417,microRNA 4417
chr1,5676487,5677601,1115,*,MACS_peak_112,618.04,"Intron (uc001alp.1/uc001alp.1, intron 1 of 2)",1,5624131,5624203,73,1,100616489,uc021ofm.1,52356,ENSG00000264341,MIR4417,microRNA 4417
chr1,5697839,5698791,953,*,MACS_peak_113,72.83,"Intron (uc001alp.1/uc001alp.1, intron 1 of 2)",1,5624131,5624203,73,1,100616489,uc021ofm.1,73708,ENSG00000264341,MIR4417,microRNA 4417
chr1,5974713,5976487,1775,*,MACS_peak_119,240.9,"Intron (uc001alq.2/261734, intron 11 of 29)",1,5946555,5965543,18989,2,261734,uc009vlu.2,-9170,ENSG00000131697,NPHP4,nephrocystin 4
chr1,5976519,5978283,1765,*,MACS_peak_120,104.36,"Intron (uc001alq.2/261734, intron 11 of 29)",1,5946555,5965543,18989,2,261734,uc009vlu.2,-10976,ENSG00000131697,NPHP4,nephrocystin 4
chr1,6002628,6003379,752,*,MACS_peak_121,72.87,"Intron (uc001alq.2/261734, intron 9 of 29)",1,5946555,5965543,18989,2,261734,uc009vlu.2,-37085,ENSG00000131697,NPHP4,nephrocystin 4
chr1,6060716,6062789,2074,*,MACS_peak_122,58.54,"Intron (uc009vlv.2/8514, intron 1 of 15)",1,5937153,6052533,115381,2,261734,uc009vlt.2,-8183,ENSG00000131697,NPHP4,nephrocystin 4
chr1,6063066,6064446,1381,*,MACS_peak_123,145.05,"Intron (uc009vlv.2/8514, intron 1 of 15)",1,5937153,6052533,115381,2,261734,uc009vlt.2,-10533,ENSG00000131697,NPHP4,nephrocystin 4
chr1,6076053,6077364,1312,*,MACS_peak_124,260.79,"Intron (uc009vlv.2/8514, intron 1 of 15)",1,6086073,6158621,72549,1,8514,uc001alu.3,-8709,ENSG00000069424,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2
chr1,6085164,6089082,3919,*,MACS_peak_125,344,Promoter (<=1kb),1,6086073,6158621,72549,1,8514,uc001alu.3,0,ENSG00000069424,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2
chr1,6089941,6091336,1396,*,MACS_peak_126,180.63,"Intron (uc009vlv.2/8514, intron 1 of 15)",1,6094348,6161253,66906,1,8514,uc001alx.2,-3012,ENSG00000069424,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2
chr1,6193241,6195910,2670,*,MACS_peak_127,102.97,Promoter (1-2kb),1,6161847,6191808,29962,2,26038,uc001alz.2,-1433,ENSG00000116254,CHD5,chromodomain helicase DNA binding protein 5
chr1,6200191,6201022,832,*,MACS_peak_128,55.64,"Intron (uc001ama.2/26038, intron 4 of 30)",1,6161847,6204215,42369,2,26038,uc001ama.2,3193,ENSG00000116254,CHD5,chromodomain helicase DNA binding protein 5
chr1,6259117,6260003,887,*,MACS_peak_129,57.72,Promoter (<=1kb),1,6245080,6259679,14600,2,6146,uc001amd.3,0,ENSG00000116251,RPL22,ribosomal protein L22
chr1,6346264,6347663,1400,*,MACS_peak_130,59.35,"Intron (uc001amq.3/11332, intron 7 of 8)",1,6307406,6321035,13630,2,387509,uc001amp.2,-25229,ENSG00000158292,GPR153,G protein-coupled receptor 153
chr1,6349770,6351024,1255,*,MACS_peak_131,118.25,"Intron (uc001amq.3/11332, intron 7 of 8)",1,6307406,6321035,13630,2,387509,uc001amp.2,-28735,ENSG00000158292,GPR153,G protein-coupled receptor 153
chr1,6380449,6382969,2521,*,MACS_peak_132,63.36,"Intron (uc001amq.3/11332, intron 5 of 8)",1,6324332,6419004,94673,2,11332,uc001amq.3,36035,ENSG00000097021,ACOT7,acyl-CoA thioesterase 7
chr1,6401815,6402827,1013,*,MACS_peak_133,93.69,"Intron (uc001amq.3/11332, intron 2 of 8)",1,6324332,6419004,94673,2,11332,uc001amq.3,16177,ENSG00000097021,ACOT7,acyl-CoA thioesterase 7
chr1,6402858,6404381,1524,*,MACS_peak_134,68.89,"Intron (uc001amq.3/11332, intron 2 of 8)",1,6324332,6419004,94673,2,11332,uc001amq.3,14623,ENSG00000097021,ACOT7,acyl-CoA thioesterase 7
chr1,6404916,6407206,2291,*,MACS_peak_135,68.22,"Intron (uc001amq.3/11332, intron 2 of 8)",1,6324332,6419004,94673,2,11332,uc001amq.3,11798,ENSG00000097021,ACOT7,acyl-CoA thioesterase 7
chr1,6424942,6425708,767,*,MACS_peak_136,56.88,"Intron (uc001ams.3/11332, intron 1 of 8)",1,6324332,6420764,96433,2,11332,uc001amr.3,-4178,ENSG00000097021,ACOT7,acyl-CoA thioesterase 7
chr1,6438039,6439068,1030,*,MACS_peak_137,51.53,"Intron (uc001ams.3/11332, intron 1 of 8)",1,6324332,6445883,121552,2,11332,uc001ams.3,6815,ENSG00000097021,ACOT7,acyl-CoA thioesterase 7
chr1,6487147,6488629,1483,*,MACS_peak_138,55.69,Promoter (1-2kb),1,6489894,6489956,63,2,100422975,uc021ofo.1,1327,ENSG00000265392,MIR4252,microRNA 4252
chr1,6538163,6538623,461,*,MACS_peak_139,56.42,Promoter (<=1kb),1,6526152,6537718,11567,2,57449,uc009vma.1,-445,ENSG00000171680,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5
chr1,6646334,6649447,3114,*,MACS_peak_140,98.07,Promoter (<=1kb),1,6645362,6649340,3979,1,3104,uc001any.2,972,ENSG00000204859,ZBTB48,zinc finger and BTB domain containing 48
chr1,6660753,6664553,3801,*,MACS_peak_141,258.22,Promoter (<=1kb),1,6650779,6662929,12151,2,9903,uc001anz.1,0,ENSG00000162413,KLHL21,kelch like family member 21
chr1,6683076,6684143,1068,*,MACS_peak_142,105.86,Promoter (<=1kb),1,6684925,6693642,8718,1,90326,uc001aoc.3,-782,ENSG00000041988,THAP3,THAP domain containing 3
chr1,6760933,6762453,1521,*,MACS_peak_143,81.68,Promoter (<=1kb),1,6694228,6761966,67739,2,55735,uc001aof.2,0,ENSG00000007923,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11
chr1,6844111,6845459,1349,*,MACS_peak_144,81.01,Promoter (<=1kb),1,6845384,6932107,86724,1,23261,uc001aoh.3,0,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7015596,7018489,2894,*,MACS_peak_145,142.76,"Intron (uc001aoi.3/23261, intron 3 of 22)",1,6845384,7829766,984383,1,23261,uc001aoi.3,170212,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7257975,7258890,916,*,MACS_peak_146,108.99,"Intron (uc001aoi.3/23261, intron 4 of 22)",1,6845384,7829766,984383,1,23261,uc001aoi.3,412591,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7342474,7343366,893,*,MACS_peak_147,52.69,"Intron (uc001aoi.3/23261, intron 5 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-388688,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7421752,7422691,940,*,MACS_peak_148,190.44,"Intron (uc001aoi.3/23261, intron 5 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-309363,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7442712,7443526,815,*,MACS_peak_149,118.04,"Intron (uc001aoi.3/23261, intron 5 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-288528,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7497630,7498531,902,*,MACS_peak_150,253.62,"Intron (uc001aoi.3/23261, intron 5 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-233523,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7498578,7501194,2617,*,MACS_peak_151,88.03,"Intron (uc001aoi.3/23261, intron 5 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-230860,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7528764,7530259,1496,*,MACS_peak_152,64.27,"Intron (uc001aoi.3/23261, intron 6 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-201795,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7578395,7580085,1691,*,MACS_peak_153,50.26,"Intron (uc001aoi.3/23261, intron 6 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-151969,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7600947,7602114,1168,*,MACS_peak_154,661.77,"Intron (uc001aoi.3/23261, intron 6 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-129940,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7607810,7608530,721,*,MACS_peak_155,61.87,"Intron (uc001aoi.3/23261, intron 6 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-123524,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7640008,7641435,1428,*,MACS_peak_156,120.06,"Intron (uc001aoi.3/23261, intron 6 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-90619,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7665675,7666560,886,*,MACS_peak_157,97.96,"Intron (uc001aoi.3/23261, intron 6 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-65494,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7716808,7718775,1968,*,MACS_peak_158,698.79,"Intron (uc001aoi.3/23261, intron 7 of 22)",1,7732054,7805082,73029,1,23261,uc010nzv.1,-13279,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7750367,7751533,1167,*,MACS_peak_159,553.04,"Intron (uc001aoi.3/23261, intron 11 of 22)",1,7740148,7829766,89619,1,23261,uc001aok.4,10219,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7753464,7754371,908,*,MACS_peak_160,294.24,"Intron (uc001aoi.3/23261, intron 11 of 22)",1,7740148,7829766,89619,1,23261,uc001aok.4,13316,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7761895,7763581,1687,*,MACS_peak_161,56.16,"Intron (uc001aoi.3/23261, intron 11 of 22)",1,7740148,7829766,89619,1,23261,uc001aok.4,21747,ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1
chr1,7843577,7845356,1780,*,MACS_peak_162,91.83,Promoter (<=1kb),1,7844380,7864018,19639,1,8863,uc001aon.3,0,ENSG00000049246,PER3,period circadian regulator 3
chr1,7869169,7869476,308,*,MACS_peak_163,108.95,"Intron (uc009vmg.1/8863, intron 11 of 18)",1,7844714,7905237,60524,1,8863,uc010nzw.2,24455,ENSG00000049246,PER3,period circadian regulator 3
chr1,7919421,7920579,1159,*,MACS_peak_164,142.77,"Intron (uc001aoq.3/10911, intron 1 of 7)",1,7907672,7913565,5894,2,10911,uc001aos.3,-5856,ENSG00000049247,UTS2,urotensin 2
chr1,7962275,7963134,860,*,MACS_peak_165,88.42,"Intron (uc001aoq.3/10911, intron 1 of 7)",1,7903143,7973294,70152,2,10911,uc001aoq.3,10160,ENSG00000049247,UTS2,urotensin 2
chr1,8085525,8087520,1996,*,MACS_peak_167,51.92,Promoter (<=1kb),1,8071779,8086393,14615,2,54206,uc001aoz.3,0,ENSG00000116285,ERRFI1,ERBB receptor feedback inhibitor 1
chr1,8456717,8457569,853,*,MACS_peak_170,269.65,"Intron (uc001apd.3/473, intron 2 of 12)",1,8412464,8483747,71284,2,473,uc001apd.3,26178,ENSG00000142599,RERE,arginine-glutamic acid dipeptide repeats
chr1,8521367,8522993,1627,*,MACS_peak_171,66.32,"Intron (uc001ape.3/473, intron 12 of 23)",1,8412464,8483747,71284,2,473,uc001apd.3,-37620,ENSG00000142599,RERE,arginine-glutamic acid dipeptide repeats
